朋友, friend
城市, city
智慧, wisdom
权力, power
地球, earth
光, light
火, fire
海洋, sea
森林, forest
生命, life
勇气, courage
黄金, gold
荣耀, glory
荣誉, honor
伟大, great
小, small
真理, truth
幸福, happiness
和平, peace
战争, war
时间, time
家, home
家庭, family
优雅, grace
希望, hope
夜晚, night
太阳, sun
月亮, moon
河流, river
身体, body
声音, voice
感觉, sense
爱, love
自由, freedom
艺术, art
学习, study
知识, knowledge
美德, virtue
工作, work
记忆, memory
赞美, praise
胜利, victory
理解, understanding
故事, story
神, god
关怀, care
使者, envoy
思想, mind
演讲, speech
自然, nature
风, wind
睡眠, sleep
信仰, faith
责任, duty
山, mountain
道路, way
港口, port
花园, garden
结束, end
